Match ID,Date,Team 1,Team 2,Map Name,Map Duration,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds
1,2024-02-16 17:00:00,NRG Esports,FURIA,Breeze,3308.0,13,10,5,8,4,6
1,2024-02-16 17:00:00,NRG Esports,FURIA,Ascent,2894.0,13,8,6,7,2,6
2,2024-02-16 20:00:00,Cloud9,MIBR,Bind,4014.0,13,11,8,5,7,4
2,2024-02-16 20:00:00,Cloud9,MIBR,Split,2849.0,8,13,2,6,6,7
2,2024-02-16 20:00:00,Cloud9,MIBR,Lotus,3427.0,13,10,5,8,3,7
3,2024-02-17 17:00:00,LOUD,Sentinels,Split,4329.0,13,11,4,9,3,8
3,2024-02-17 17:00:00,LOUD,Sentinels,Ascent,3105.0,13,9,5,8,2,7
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Bind,3798.0,13,9,7,6,4,5
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Split,2197.0,3,13,3,0,4,9
4,2024-02-17 19:35:00,LEVIATÁN,100 Thieves,Icebox,3187.0,13,11,6,7,5,6
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Icebox,3970.0,13,9,7,6,6,3
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Sunset,3193.0,9,13,6,3,7,6
5,2024-02-18 17:00:00,KRÜ Esports,G2 Esports,Ascent,3400.0,11,13,7,4,8,5
6,2024-02-19 17:00:00,FURIA,MIBR,Split,4452.0,9,13,7,2,8,5
6,2024-02-19 17:00:00,FURIA,MIBR,Breeze,3386.0,11,13,3,8,4,9
7,2024-02-19 19:45:00,Sentinels,100 Thieves,Lotus,2996.0,13,5,9,4,2,3
7,2024-02-19 19:45:00,Sentinels,100 Thieves,Bind,2697.0,6,13,2,4,8,5
7,2024-02-19 19:45:00,Sentinels,100 Thieves,Split,2729.0,13,8,7,6,3,5
8,2024-02-23 17:00:00,NRG Esports,Cloud9,Sunset,3641.0,13,7,5,8,4,3
8,2024-02-23 17:00:00,NRG Esports,Cloud9,Ascent,3514.0,14,12,5,7,5,7
9,2024-02-23 19:25:00,LOUD,LEVIATÁN,Bind,4298.0,11,13,8,3,9,4
9,2024-02-23 19:25:00,LOUD,LEVIATÁN,Split,3490.0,13,10,7,6,6,4
9,2024-02-23 19:25:00,LOUD,LEVIATÁN,Ascent,3010.0,13,7,9,4,4,3
10,2024-02-24 17:00:00,G2 Esports,Evil Geniuses,Sunset,4734.0,13,15,8,4,8,4
10,2024-02-24 17:00:00,G2 Esports,Evil Geniuses,Icebox,3700.0,11,13,5,6,6,7
11,2024-02-25 15:00:00,Cloud9,MIBR,Bind,4563.0,12,14,7,5,7,5
11,2024-02-25 15:00:00,Cloud9,MIBR,Ascent,3381.0,9,13,4,5,7,6
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Split,3011.0,3,13,3,0,4,9
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Breeze,2700.0,13,6,9,4,3,3
12,2024-02-25 17:40:00,LEVIATÁN,Sentinels,Bind,3174.0,9,13,3,6,6,7
13,2024-02-25 20:55:00,G2 Esports,KRÜ Esports,Split,3504.0,13,8,6,7,5,3
13,2024-02-25 20:55:00,G2 Esports,KRÜ Esports,Sunset,2729.0,13,8,8,5,7,1
14,2024-02-26 15:00:00,MIBR,Sentinels,Split,3687.0,7,13,2,5,3,10
14,2024-02-26 15:00:00,MIBR,Sentinels,Ascent,2703.0,6,13,5,1,6,7
15,2024-02-26 17:10:00,G2 Esports,MIBR,Sunset,3634.0,9,13,3,6,6,7
15,2024-02-26 17:10:00,G2 Esports,MIBR,Split,4114.0,15,13,7,5,7,5
15,2024-02-26 17:10:00,G2 Esports,MIBR,Breeze,3547.0,10,13,4,6,6,7
16,2024-02-26 20:55:00,Sentinels,G2 Esports,Sunset,3268.0,13,8,4,9,0,8
16,2024-02-26 20:55:00,Sentinels,G2 Esports,Breeze,2828.0,9,13,6,3,9,4
16,2024-02-26 20:55:00,Sentinels,G2 Esports,Split,3170.0,9,13,2,7,5,8
17,2024-03-02 17:00:00,Evil Geniuses,LOUD,Ascent,3504.0,13,7,4,9,3,4
17,2024-03-02 17:00:00,Evil Geniuses,LOUD,Icebox,2865.0,7,13,3,4,8,5
17,2024-03-02 17:00:00,Evil Geniuses,LOUD,Sunset,2445.0,5,13,4,1,5,8
18,2024-03-02 20:00:00,NRG Esports,Sentinels,Sunset,4641.0,14,16,5,7,5,7
18,2024-03-02 20:00:00,NRG Esports,Sentinels,Ascent,3209.0,13,8,8,5,4,4
18,2024-03-02 20:00:00,NRG Esports,Sentinels,Split,2457.0,3,13,1,2,2,11
19,2024-03-03 17:00:00,LOUD,Sentinels,Sunset,4311.0,9,13,5,4,8,5
19,2024-03-03 17:00:00,LOUD,Sentinels,Split,2468.0,3,13,3,0,4,9
19,2024-03-03 17:00:00,LOUD,Sentinels,Icebox,3208.0,13,11,8,5,7,4
19,2024-03-03 17:00:00,LOUD,Sentinels,Bind,3063.0,13,8,9,4,5,3
19,2024-03-03 17:00:00,LOUD,Sentinels,Lotus,2642.0,4,13,2,2,10,3
20,2024-02-17 01:00:00,T1,BLEED,Breeze,12151.0,18,16,6,6,6,6
20,2024-02-17 01:00:00,T1,BLEED,Lotus,2865.0,13,6,9,4,3,3
21,2024-02-17 08:45:00,Gen.G,Rex Regum Qeon,Icebox,3050.0,13,11,6,7,5,6
21,2024-02-17 08:45:00,Gen.G,Rex Regum Qeon,Split,2913.0,11,13,2,9,3,10
21,2024-02-17 08:45:00,Gen.G,Rex Regum Qeon,Sunset,2726.0,13,8,5,8,4,4
22,2024-02-18 01:00:00,ZETA DIVISION,Global Esports,Bind,3143.0,13,10,6,7,5,5
22,2024-02-18 01:00:00,ZETA DIVISION,Global Esports,Icebox,2596.0,13,7,7,6,6,1
23,2024-02-18 03:30:00,Team Secret,Talon Esports,Breeze,3223.0,8,13,3,5,4,9
23,2024-02-18 03:30:00,Team Secret,Talon Esports,Ascent,1827.0,3,13,3,0,4,9
24,2024-02-18 05:30:00,DRX,DetonatioN FocusMe,Lotus,3681.0,13,8,6,7,5,3
24,2024-02-18 05:30:00,DRX,DetonatioN FocusMe,Breeze,2653.0,13,8,5,8,4,4
25,2024-02-19 01:00:00,Gen.G,Paper Rex,Breeze,3729.0,13,10,7,6,6,4
25,2024-02-19 01:00:00,Gen.G,Paper Rex,Lotus,2947.0,10,13,5,5,6,7
25,2024-02-19 01:00:00,Gen.G,Paper Rex,Sunset,2411.0,7,13,2,5,3,10
26,2024-02-19 04:15:00,BLEED,Global Esports,Sunset,3499.0,9,13,4,5,7,6
26,2024-02-19 04:15:00,BLEED,Global Esports,Icebox,3236.0,13,10,9,4,8,2
26,2024-02-19 04:15:00,BLEED,Global Esports,Split,3306.0,11,13,7,4,8,5
27,2024-02-19 08:00:00,T1,ZETA DIVISION,Ascent,4006.0,11,13,6,5,7,6
27,2024-02-19 08:00:00,T1,ZETA DIVISION,Lotus,2564.0,13,4,4,9,3,1
27,2024-02-19 08:00:00,T1,ZETA DIVISION,Sunset,2697.0,13,7,5,8,4,3
28,2024-02-20 03:00:00,DetonatioN FocusMe,Team Secret,Lotus,3435.0,7,13,4,3,9,4
28,2024-02-20 03:00:00,DetonatioN FocusMe,Team Secret,Breeze,3168.0,11,13,5,6,6,7
29,2024-02-20 05:20:00,DRX,Talon Esports,Split,3625.0,13,10,8,5,6,4
29,2024-02-20 05:20:00,DRX,Talon Esports,Ascent,2772.0,13,8,7,6,6,2
30,2024-02-21 01:00:00,Gen.G,Rex Regum Qeon,Lotus,3964.0,13,7,5,8,0,7
30,2024-02-21 01:00:00,Gen.G,Rex Regum Qeon,Breeze,3186.0,10,13,7,3,9,4
30,2024-02-21 01:00:00,Gen.G,Rex Regum Qeon,Icebox,3020.0,13,11,8,5,7,4
31,2024-02-21 04:30:00,Talon Esports,Team Secret,Breeze,3226.0,8,13,4,4,5,8
31,2024-02-21 04:30:00,Talon Esports,Team Secret,Ascent,2684.0,7,13,7,0,8,5
32,2024-02-21 07:15:00,ZETA DIVISION,Global Esports,Bind,3338.0,13,8,5,8,4,4
32,2024-02-21 07:15:00,ZETA DIVISION,Global Esports,Lotus,2199.0,13,3,9,4,0,3
33,2024-02-22 01:00:00,Team Secret,Gen.G,Breeze,3159.0,13,5,5,8,4,1
33,2024-02-22 01:00:00,Team Secret,Gen.G,Lotus,3205.0,9,13,8,1,9,4
33,2024-02-22 01:00:00,Team Secret,Gen.G,Icebox,3612.0,13,15,4,8,4,8
34,2024-02-22 04:20:00,ZETA DIVISION,Team Secret,Icebox,2183.0,1,13,0,1,11,2
34,2024-02-22 04:20:00,ZETA DIVISION,Team Secret,Ascent,2762.0,8,13,7,1,8,5
35,2024-02-22 06:30:00,Gen.G,ZETA DIVISION,Icebox,3275.0,13,6,8,5,2,4
35,2024-02-22 06:30:00,Gen.G,ZETA DIVISION,Ascent,2343.0,13,4,3,10,2,2
36,2024-02-24 03:00:00,T1,Paper Rex,Split,4707.0,14,16,8,4,8,4
36,2024-02-24 03:00:00,T1,Paper Rex,Ascent,2508.0,6,13,2,4,8,5
37,2024-02-24 05:25:00,DRX,Gen.G,Bind,4525.0,12,14,7,5,7,5
37,2024-02-24 05:25:00,DRX,Gen.G,Lotus,2752.0,8,13,5,3,9,4
38,2024-02-25 03:00:00,Paper Rex,Gen.G,Ascent,3437.0,5,13,5,0,6,7
38,2024-02-25 03:00:00,Paper Rex,Gen.G,Split,2110.0,13,4,8,5,0,4
38,2024-02-25 03:00:00,Paper Rex,Gen.G,Lotus,2949.0,11,13,7,4,8,5
38,2024-02-25 03:00:00,Paper Rex,Gen.G,Bind,1891.0,4,13,0,4,8,5
39,2024-02-20 11:00:00,FUT Esports,Team Heretics,Lotus,3569.0,11,13,7,4,8,5
39,2024-02-20 11:00:00,FUT Esports,Team Heretics,Bind,3007.0,10,13,5,5,7,6
40,2024-02-20 13:35:00,GIANTX,Karmine Corp,Split,3698.0,11,13,6,5,7,6
40,2024-02-20 13:35:00,GIANTX,Karmine Corp,Sunset,2898.0,13,10,7,6,5,5
40,2024-02-20 13:35:00,GIANTX,Karmine Corp,Lotus,2464.0,4,13,3,1,4,9
41,2024-02-21 08:00:00,Natus Vincere,BBL Esports,Bind,2965.0,8,13,4,4,5,8
41,2024-02-21 08:00:00,Natus Vincere,BBL Esports,Ascent,2433.0,13,6,7,6,6,0
41,2024-02-21 08:00:00,Natus Vincere,BBL Esports,Breeze,2285.0,13,6,4,9,3,3
42,2024-02-21 11:00:00,Team Liquid,KOI,Icebox,3323.0,13,10,8,5,7,3
42,2024-02-21 11:00:00,Team Liquid,KOI,Bind,3040.0,13,11,8,5,7,4
43,2024-02-21 13:45:00,Team Vitality,Gentle Mates,Sunset,3739.0,13,10,8,5,6,4
43,2024-02-21 13:45:00,Team Vitality,Gentle Mates,Lotus,2709.0,13,7,6,7,5,2
44,2024-02-22 11:00:00,Team Heretics,Karmine Corp,Split,2857.0,13,4,4,9,3,1
44,2024-02-22 11:00:00,Team Heretics,Karmine Corp,Lotus,2575.0,13,4,5,8,4,0
45,2024-02-22 13:10:00,FUT Esports,GIANTX,Split,2620.0,13,6,5,8,4,2
45,2024-02-22 13:10:00,FUT Esports,GIANTX,Icebox,2814.0,8,13,3,5,7,6
45,2024-02-22 13:10:00,FUT Esports,GIANTX,Sunset,2523.0,13,7,7,6,2,5
46,2024-02-23 08:00:00,Natus Vincere,Team Liquid,Split,2754.0,13,7,8,5,7,0
46,2024-02-23 08:00:00,Natus Vincere,Team Liquid,Breeze,2509.0,13,7,6,7,1,6
47,2024-02-23 10:10:00,BBL Esports,KOI,Bind,2898.0,5,13,3,2,10,3
47,2024-02-23 10:10:00,BBL Esports,KOI,Split,3052.0,10,13,4,6,6,7
48,2024-02-23 12:20:00,Team Vitality,FNATIC,Lotus,3613.0,12,14,8,4,8,4
48,2024-02-23 12:20:00,Team Vitality,FNATIC,Ascent,2487.0,5,13,5,0,6,7
49,2024-02-25 08:05:00,Team Vitality,Gentle Mates,Breeze,3561.0,4,13,2,2,10,3
49,2024-02-25 08:05:00,Team Vitality,Gentle Mates,Lotus,3902.0,15,13,7,5,7,5
49,2024-02-25 08:05:00,Team Vitality,Gentle Mates,Sunset,2606.0,13,3,11,2,2,1
50,2024-02-25 11:15:00,Karmine Corp,FUT Esports,Lotus,5373.0,20,18,6,6,6,6
50,2024-02-25 11:15:00,Karmine Corp,FUT Esports,Bind,2373.0,4,13,1,3,9,4
50,2024-02-25 11:15:00,Karmine Corp,FUT Esports,Sunset,2700.0,13,7,3,10,2,5
51,2024-02-25 14:45:00,Team Liquid,KOI,Sunset,3682.0,11,13,4,7,5,8
51,2024-02-25 14:45:00,Team Liquid,KOI,Icebox,3648.0,14,12,6,6,6,6
51,2024-02-25 14:45:00,Team Liquid,KOI,Split,3094.0,10,13,5,5,6,7
52,2024-02-26 08:00:00,Karmine Corp,Team Vitality,Sunset,4122.0,13,8,5,8,4,4
52,2024-02-26 08:00:00,Karmine Corp,Team Vitality,Ascent,4441.0,15,13,7,5,7,5
53,2024-02-26 10:45:00,KOI,Team Vitality,Sunset,3419.0,9,13,7,2,10,3
53,2024-02-26 10:45:00,KOI,Team Vitality,Breeze,2525.0,6,13,0,6,6,7
54,2024-02-26 12:45:00,Karmine Corp,KOI,Sunset,3063.0,13,4,5,8,4,0
54,2024-02-26 12:45:00,Karmine Corp,KOI,Bind,2697.0,13,7,9,4,4,3
55,2024-02-29 11:00:00,Team Heretics,Natus Vincere,Sunset,5072.0,16,14,4,8,4,8
55,2024-02-29 11:00:00,Team Heretics,Natus Vincere,Breeze,2321.0,13,4,10,3,2,2
56,2024-02-29 13:20:00,FNATIC,Karmine Corp,Lotus,3882.0,10,13,4,6,5,8
56,2024-02-29 13:20:00,FNATIC,Karmine Corp,Split,2824.0,8,13,3,5,7,6
57,2024-03-01 11:00:00,Team Heretics,Karmine Corp,Sunset,4026.0,13,9,4,9,3,6
57,2024-03-01 11:00:00,Team Heretics,Karmine Corp,Lotus,2620.0,7,13,6,1,11,2
57,2024-03-01 11:00:00,Team Heretics,Karmine Corp,Icebox,2575.0,7,13,4,3,5,8
57,2024-03-01 11:00:00,Team Heretics,Karmine Corp,Split,2304.0,5,13,4,1,5,8
58,2024-02-22 04:00:00,Trace Esports,TYLOO,Ascent,,13,4,5,8,4,0
58,2024-02-22 04:00:00,Trace Esports,TYLOO,Sunset,,13,3,2,11,1,2
59,2024-02-22 06:05:00,FunPlus Phoenix,Nova Esports,Lotus,,13,5,6,7,5,0
59,2024-02-22 06:05:00,FunPlus Phoenix,Nova Esports,Sunset,,13,10,7,6,5,5
60,2024-02-23 02:00:00,JDG Esports,Titan Esports Club,Lotus,,8,13,6,2,7,6
60,2024-02-23 02:00:00,JDG Esports,Titan Esports Club,Bind,,14,16,4,8,4,8
61,2024-02-23 04:55:00,Dragon Ranger Gaming,All Gamers,Sunset,,13,11,8,5,7,4
61,2024-02-23 04:55:00,Dragon Ranger Gaming,All Gamers,Ascent,,13,4,4,9,3,1
62,2024-02-23 07:05:00,Bilibili Gaming,Wolves Esports,Ascent,,9,13,3,6,4,9
62,2024-02-23 07:05:00,Bilibili Gaming,Wolves Esports,Icebox,,7,13,2,5,7,6
63,2024-02-24 04:00:00,TYLOO,Nova Esports,Ascent,,11,13,6,5,7,6
63,2024-02-24 04:00:00,TYLOO,Nova Esports,Split,,11,13,6,5,7,6
64,2024-02-24 06:25:00,JDG Esports,All Gamers,Icebox,,13,11,6,7,5,6
64,2024-02-24 06:25:00,JDG Esports,All Gamers,Sunset,,13,8,6,7,2,6
65,2024-02-25 02:00:00,Trace Esports,FunPlus Phoenix,Sunset,,11,13,7,4,8,5
65,2024-02-25 02:00:00,Trace Esports,FunPlus Phoenix,Bind,,13,11,8,5,7,4
65,2024-02-25 02:00:00,Trace Esports,FunPlus Phoenix,Lotus,,10,13,5,5,7,6
66,2024-02-25 05:30:00,Titan Esports Club,Dragon Ranger Gaming,Icebox,,11,13,1,10,2,11
66,2024-02-25 05:30:00,Titan Esports Club,Dragon Ranger Gaming,Split,,13,8,7,6,6,2
66,2024-02-25 05:30:00,Titan Esports Club,Dragon Ranger Gaming,Bind,,10,13,4,6,6,7
67,2024-02-25 09:00:00,Wolves Esports,EDward Gaming,Bind,,10,13,5,5,6,7
67,2024-02-25 09:00:00,Wolves Esports,EDward Gaming,Ascent,,13,10,6,7,4,6
67,2024-02-25 09:00:00,Wolves Esports,EDward Gaming,Breeze,,11,13,4,7,5,8
68,2024-02-26 02:00:00,Trace Esports,Nova Esports,Split,,13,5,6,7,5,0
68,2024-02-26 02:00:00,Trace Esports,Nova Esports,Lotus,,13,4,5,8,4,0
69,2024-02-26 04:05:00,Titan Esports Club,JDG Esports,Bind,,5,13,1,4,8,5
69,2024-02-26 04:05:00,Titan Esports Club,JDG Esports,Icebox,,14,12,7,5,7,5
69,2024-02-26 04:05:00,Titan Esports Club,JDG Esports,Lotus,,13,10,7,6,6,4
70,2024-02-26 07:40:00,Wolves Esports,Bilibili Gaming,Sunset,,9,13,2,7,5,8
70,2024-02-26 07:40:00,Wolves Esports,Bilibili Gaming,Icebox,,10,13,3,7,4,9
71,2024-02-27 02:00:00,Trace Esports,Titan Esports Club,Breeze,,16,18,7,5,7,5
71,2024-02-27 02:00:00,Trace Esports,Titan Esports Club,Lotus,,13,6,10,3,4,2
71,2024-02-27 02:00:00,Trace Esports,Titan Esports Club,Split,,13,8,9,4,5,3
72,2024-02-27 05:35:00,Bilibili Gaming,Titan Esports Club,Lotus,,13,3,4,9,3,0
72,2024-02-27 05:35:00,Bilibili Gaming,Titan Esports Club,Ascent,,13,8,7,6,3,5
73,2024-02-27 07:35:00,Bilibili Gaming,Trace Esports,Lotus,,13,11,4,9,3,8
73,2024-02-27 07:35:00,Bilibili Gaming,Trace Esports,Sunset,,13,15,6,6,6,6
73,2024-02-27 07:35:00,Bilibili Gaming,Trace Esports,Bind,,12,14,4,8,4,8
74,2024-03-01 04:00:00,FunPlus Phoenix,Dragon Ranger Gaming,Ascent,,13,10,5,8,4,6
74,2024-03-01 04:00:00,FunPlus Phoenix,Dragon Ranger Gaming,Breeze,,13,6,4,9,3,3
75,2024-03-01 06:15:00,EDward Gaming,Trace Esports,Sunset,,14,12,7,5,7,5
75,2024-03-01 06:15:00,EDward Gaming,Trace Esports,Bind,,13,6,8,5,2,4
76,2024-03-02 04:00:00,FunPlus Phoenix,EDward Gaming,Breeze,,12,14,5,7,5,7
76,2024-03-02 04:00:00,FunPlus Phoenix,EDward Gaming,Split,,6,13,1,5,7,6
76,2024-03-02 04:00:00,FunPlus Phoenix,EDward Gaming,Icebox,,13,8,7,6,6,2
76,2024-03-02 04:00:00,FunPlus Phoenix,EDward Gaming,Ascent,,14,16,6,6,6,6
77,2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,Icebox,3591.0,13,8,6,7,5,3
77,2024-03-14 11:00:00,Karmine Corp,FunPlus Phoenix,Lotus,3129.0,13,10,9,4,8,2
78,2024-03-14 13:25:00,Gen.G,LOUD,Icebox,3764.0,13,11,6,7,5,6
78,2024-03-14 13:25:00,Gen.G,LOUD,Breeze,3386.0,8,13,5,3,9,4
78,2024-03-14 13:25:00,Gen.G,LOUD,Ascent,2296.0,13,5,9,4,2,3
79,2024-03-15 11:00:00,EDward Gaming,Paper Rex,Sunset,3656.0,8,13,5,3,9,4
79,2024-03-15 11:00:00,EDward Gaming,Paper Rex,Bind,2951.0,13,9,5,8,4,5
79,2024-03-15 11:00:00,EDward Gaming,Paper Rex,Split,2629.0,13,9,5,8,4,5
80,2024-03-15 14:15:00,Sentinels,Team Heretics,Lotus,3637.0,13,9,9,4,8,1
80,2024-03-15 14:15:00,Sentinels,Team Heretics,Sunset,2683.0,5,13,4,1,5,8
80,2024-03-15 14:15:00,Sentinels,Team Heretics,Bind,3314.0,13,11,6,7,5,6
81,2024-03-16 11:00:00,Sentinels,Karmine Corp,Split,3424.0,13,8,6,7,2,6
81,2024-03-16 11:00:00,Sentinels,Karmine Corp,Lotus,3409.0,13,11,7,6,6,5
82,2024-03-16 13:25:00,EDward Gaming,Gen.G,Icebox,3341.0,13,8,8,5,4,4
82,2024-03-16 13:25:00,EDward Gaming,Gen.G,Split,2390.0,5,13,0,5,7,6
82,2024-03-16 13:25:00,EDward Gaming,Gen.G,Breeze,2716.0,6,13,5,1,11,2
83,2024-03-17 11:00:00,FunPlus Phoenix,LOUD,Sunset,2552.0,5,13,4,1,5,8
83,2024-03-17 11:00:00,FunPlus Phoenix,LOUD,Breeze,3185.0,11,13,4,7,5,8
84,2024-03-17 13:20:00,Team Heretics,Paper Rex,Sunset,3571.0,10,13,4,6,6,7
84,2024-03-17 13:20:00,Team Heretics,Paper Rex,Lotus,2816.0,13,10,6,7,5,5
84,2024-03-17 13:20:00,Team Heretics,Paper Rex,Split,2377.0,7,13,1,6,6,7
85,2024-03-18 11:00:00,LOUD,EDward Gaming,Icebox,2622.0,13,2,11,2,1,1
85,2024-03-18 11:00:00,LOUD,EDward Gaming,Sunset,2121.0,13,3,4,9,3,0
86,2024-03-18 12:55:00,Karmine Corp,Paper Rex,Bind,3589.0,10,13,6,4,8,5
86,2024-03-18 12:55:00,Karmine Corp,Paper Rex,Lotus,2576.0,13,6,5,8,4,2
86,2024-03-18 12:55:00,Karmine Corp,Paper Rex,Ascent,3221.0,12,14,5,7,5,7
87,2024-03-21 11:00:00,Gen.G,Paper Rex,Split,3337.0,13,8,8,5,4,4
87,2024-03-21 11:00:00,Gen.G,Paper Rex,Lotus,2562.0,13,9,5,8,4,5
88,2024-03-21 13:10:00,Sentinels,LOUD,Split,2914.0,13,4,9,4,1,3
88,2024-03-21 13:10:00,Sentinels,LOUD,Icebox,3575.0,12,14,5,7,5,7
88,2024-03-21 13:10:00,Sentinels,LOUD,Sunset,3755.0,14,12,7,5,7,5
89,2024-03-22 11:00:00,Gen.G,Sentinels,Split,3219.0,13,5,8,5,1,4
